TABLE->,OX-FLAGS,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-CFOREA,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-INIT,OX-INIT,OX-INIT
VARS->,REAM,KBOD20,TCBOD,KODSET,SUPSAT,BENOD,TCBEN,EXPOD,BRBOD1,BRBOD2,EXPREL,CFOREA,TCGINV,REAK,EXPRED,EXPREV,DOX,BOD,SATDO
NR2_8210_8180,3,0.05,1.047,0.01,1.060093,44.45836,1.047,1.22,0.01,0.01,1,na,1.047,0.834690,-1.673,0.969,14,3,14
NR3_8420_8430,3,0.05,1.047,0.01,1.184670,52.90414,1.047,1.22,0.01,0.01,1,na,1.047,0.187775,-1.673,0.969,14,3,14
NR3_8290_8170,3,0.05,1.047,0.01,1.060093,44.45836,1.047,1.22,0.01,0.01,1,na,1.047,0.834690,-1.673,0.969,14,3,14
NR6_8180_8051,3,0.05,1.047,0.01,1.060093,44.45836,1.047,1.22,0.01,0.01,1,na,1.047,0.834690,-1.673,0.969,14,3,14
NR3_8690_8500,3,0.05,1.047,0.01,1.350000,74.46629,1.047,1.22,0.01,0.01,1,na,1.047,1.192327,-1.673,0.969,14,3,14
NR3_8430_7820,3,0.05,1.047,0.01,1.060093,44.45836,1.047,1.22,0.01,0.01,1,na,1.047,0.834690,-1.673,0.969,14,3,14
NR6_8170_7960,3,0.05,1.047,0.01,1.060093,44.45836,1.047,1.22,0.01,0.01,1,na,1.047,0.834690,-1.673,0.969,14,3,14
NR3_8740_8500,3,0.05,1.047,0.01,1.350000,74.46629,1.047,1.22,0.01,0.01,1,na,1.047,1.192327,-1.673,0.969,14,3,14
NR2_8600_8700,3,0.05,1.047,0.01,1.321297,75.63272,1.047,1.22,0.01,0.01,1,na,1.047,0.380389,-1.673,0.969,14,3,14
NR1_8820_8760,3,0.05,1.047,0.01,1.350000,74.46629,1.047,1.22,0.01,0.01,1,na,1.047,1.192327,-1.673,0.969,14,3,14
NR5_8700_8640,3,0.05,1.047,0.01,1.350000,74.46629,1.047,1.22,0.01,0.01,1,na,1.047,1.192327,-1.673,0.969,14,3,14
NR1_8960_8870,3,0.05,1.047,0.01,1.350000,37.83080,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
NR1_9150_9050,3,0.05,1.047,0.01,1.350000,37.83080,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
NR1_9030_9080,3,0.05,1.047,0.01,1.350000,37.83080,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
NR2_9250_9170,3,0.05,1.047,0.01,1.350000,37.83080,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
NR3_9310_9240,3,0.05,1.047,0.01,1.350000,37.83080,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
NR3_9190_9170,3,0.05,1.047,0.01,1.350000,37.83080,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
NR3_9170_9130,3,0.05,1.047,0.01,1.350000,37.83080,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
NR3_9240_9130,3,0.05,1.047,0.01,1.350000,37.83080,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
NR4_9130_9080,3,0.05,1.047,0.01,1.350000,37.83080,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
NR5_9080_9050,3,0.05,1.047,0.01,1.350000,37.83080,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
NR5_9050_8870,3,0.05,1.047,0.01,1.350000,37.83080,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
NR5_8870_8760,3,0.05,1.047,0.01,1.350000,74.46629,1.047,1.22,0.01,0.01,1,na,1.047,1.192327,-1.673,0.969,14,3,14
NR5_8760_8640,3,0.05,1.047,0.01,1.350000,74.46629,1.047,1.22,0.01,0.01,1,na,1.047,1.192327,-1.673,0.969,14,3,14
NR6_8640_8500,3,0.05,1.047,0.01,1.350000,74.46629,1.047,1.22,0.01,0.01,1,na,1.047,1.192327,-1.673,0.969,14,3,14
NR6_8500_7820,na,0.05,1.047,0.01,1.060093,44.45836,1.047,1.22,0.01,0.01,1,1.222631,na,na,na,na,14,3,14
NR6_7820_7960,3,0.05,1.047,0.01,1.060093,44.45836,1.047,1.22,0.01,0.01,1,na,1.047,0.834690,-1.673,0.969,14,3,14
NR6_7960_8050,3,0.05,1.047,0.01,1.060093,44.45836,1.047,1.22,0.01,0.01,1,na,1.047,0.834690,-1.673,0.969,14,3,14
NR6_8050_8051,3,0.05,1.047,0.01,1.060093,44.45836,1.047,1.22,0.01,0.01,1,na,1.047,0.834690,-1.673,0.969,14,3,14
NR6_8051_8000,3,0.05,1.047,0.01,1.060093,44.45836,1.047,1.22,0.01,0.01,1,na,1.047,0.834690,-1.673,0.969,14,3,14
SU1_1630_1610,3,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU2_1550_1620,3,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU2_1200_1310,3,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU1_1480_1500,3,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU2_1210_1310,3,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU2_0670_0810,3,0.05,1.047,0.01,1.000000,19.18396,1.047,1.22,0.01,0.01,1,na,1.047,0.091961,-1.673,0.969,14,3,14
SU2_1290_1500,3,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU3_1310_1280,3,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU3_1280_1590,3,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU3_1500_1420,3,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU2_1020_0980,3,0.05,1.047,0.01,1.000000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU3_0810_0970,3,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU1_0660_0710,3,0.05,1.047,0.01,1.171248,85.87035,1.047,1.22,0.01,0.01,1,na,1.047,0.460083,-1.673,0.969,14,3,14
SU2_0990_0950,3,0.05,1.047,0.01,1.000000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU3_0970_1120,3,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,1.415452,-1.673,0.969,14,3,14
SU2_0780_0710,3,0.05,1.047,0.01,1.171248,85.87035,1.047,1.22,0.01,0.01,1,na,1.047,0.460083,-1.673,0.969,14,3,14
SU2_0760_0960,3,0.05,1.047,0.01,1.000000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU2_0700_0860,3,0.05,1.047,0.01,1.000000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
