TABLE->,HT-BED-FLAGS,HT-BED-FLAGS,HT-BED-FLAGS,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,HEAT-INIT,HEAT-INIT
VARS->,BDFG,TGFG,TSTP,ELEV,ELDAT,CFSAEX,KATRAD,KCOND,KEVAP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TW,AIRTMP
SU4_0350_0420,0,na,na,0910,-0031,0.40,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0070_0090,0,na,na,1173,-0113,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0090_0170,0,na,na,1048,0067,0.30,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0770_0690,0,na,na,0986,-0739,0.30,16.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU4_0690_0650,0,na,na,0958,-0302,0.40,16.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU5_0650_0530,0,na,na,0935,-0325,0.50,14.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0170_0270,0,na,na,1009,0028,0.30,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0290_0291,0,na,na,1550,-0399,0.20,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU1_0060_0190,0,na,na,1238,-0595,0.10,16.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU4_0270_0430,0,na,na,0933,-0048,0.40,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0210_0300,0,na,na,1048,-0786,0.20,16.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0130_0250,0,na,na,1109,-0725,0.20,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU4_0430_0420,0,na,na,0882,-0098,0.40,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU5_0530_0610,0,na,na,0871,-0061,0.50,14.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU5_0610_0600,0,na,na,0795,-0136,0.50,14.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU5_0420_0500,0,na,na,0850,-0092,0.50,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0291_0320,0,na,na,1092,-0856,0.85,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0010_0190,0,na,na,1271,-0015,0.30,16.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU5_0600_0750,0,na,na,0754,-0177,0.50,14.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0190_0300,0,na,na,1035,0054,0.30,16.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU4_0300_0310,0,na,na,0987,0007,0.40,16.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0150_0220,0,na,na,1458,-0490,0.20,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0100_0230,0,na,na,1463,-0371,0.20,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0320_0340,0,na,na,1046,-0902,0.20,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0040_0180,0,na,na,1319,-0515,0.20,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0020_0140,0,na,na,1333,-0500,0.20,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0030_0140,0,na,na,1168,-0666,0.85,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0140_0180,0,na,na,1155,-0679,0.30,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0180_0230,0,na,na,1117,-0717,0.30,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU4_0230_0220,0,na,na,1087,-0746,0.40,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU4_0220_0250,0,na,na,1061,-0772,0.40,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU4_0250_0340,0,na,na,1020,-0813,0.40,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU5_0340_0310,0,na,na,0986,-0963,0.50,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU5_0310_0400,0,na,na,0966,-0015,0.50,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU5_0400_0460,0,na,na,0956,-0025,0.50,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU5_0460_0480,0,na,na,0946,-0034,0.50,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU6_0480_0520,0,na,na,0891,-0051,0.60,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU6_0520_0500,0,na,na,0830,-0112,0.60,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU6_0500_0550,0,na,na,0812,-0130,0.60,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
