riverseg,Additional EOS Loads (lbs/yr) ***
SW7_1320_1300,63460.309
SW7_1340_1320,18662.821
SW7_1410_1460,48016.6608
SW7_1460_1640,20729.239
SW7_1470_1340,9259.9536
SW7_1640_1680,7787.565
SW7_1680_1760,0
TU0_9160_0000,0
TU0_9300_0000,0
TU1_8570_8680,128.90134
TU1_9010_9290,152.62726
TU1_9120_0000,0
TU1_9220_9200,147.09712
TU2_8790_9070,51.154473
TU2_8860_9000,3253.725674
TU2_8950_9040,0.7296256
TU2_8970_9280,48.4986
TU2_9070_9090,48.17056
TU2_9100_9200,103.357308
TU2_9200_9180,36.644036
TU3_8480_8680,78.61694
